time,vin,vout
3.432800000000000066e-04,7.583310659999999981e-01,3.634092300000000275e-01
3.442799999999999767e-04,7.582961489999999749e-01,3.638165509999999880e-01
3.452800000000000010e-04,7.582609040000000133e-01,3.642295799999999972e-01
3.462800000000000253e-04,7.582253329999999458e-01,3.646483690000000277e-01
3.472799999999999954e-04,7.581894380000000488e-01,3.650729710000000239e-01
3.482800000000000197e-04,7.581532189999999893e-01,3.655034389999999855e-01
3.492799999999999898e-04,7.581166780000000438e-01,3.659398280000000225e-01
3.502800000000000141e-04,7.580798170000000447e-01,3.663821950000000216e-01
3.512799999999999842e-04,7.580426359999999919e-01,3.668305960000000088e-01
3.522800000000000085e-04,7.580051389999999945e-01,3.672850899999999807e-01
3.532799999999999786e-04,7.579673249999999696e-01,3.677457359999999897e-01
3.542800000000000029e-04,7.579291959999999717e-01,3.682125949999999759e-01
3.552799999999999730e-04,7.578907550000000271e-01,3.686857279999999903e-01
3.562799999999999973e-04,7.578520020000000246e-01,3.691651980000000277e-01
3.572800000000000216e-04,7.578129390000000187e-01,3.696510689999999988e-01
3.582799999999999917e-04,7.577735679999999530e-01,3.701434060000000081e-01
3.592800000000000160e-04,7.577338900000000210e-01,3.706422759999999927e-01
3.602799999999999861e-04,7.576939059999999726e-01,3.711477460000000006e-01
3.612800000000000104e-04,7.576536189999999449e-01,3.716598859999999949e-01
3.622799999999999805e-04,7.576130300000000206e-01,3.721787659999999942e-01
3.632800000000000048e-04,7.575721399999999495e-01,3.727044569999999890e-01
3.642799999999999749e-04,7.575309510000000079e-01,3.732370320000000241e-01
3.652799999999999992e-04,7.574894650000000285e-01,3.737765650000000051e-01
3.662800000000000235e-04,7.574476829999999827e-01,3.743231320000000029e-01
3.672799999999999936e-04,7.574056070000000362e-01,3.748768100000000048e-01
3.682800000000000179e-04,7.573632390000000214e-01,3.754376770000000252e-01
3.692799999999999880e-04,7.573205800000000210e-01,3.760058130000000221e-01
3.702800000000000123e-04,7.572776319999999783e-01,3.765812989999999805e-01
3.712799999999999824e-04,7.572343969999999480e-01,3.771642170000000238e-01
3.722800000000000067e-04,7.571908760000000127e-01,3.777546509999999969e-01
3.732799999999999768e-04,7.571470710000000048e-01,3.783526879999999926e-01
3.742800000000000011e-04,7.571029839999999789e-01,3.789584129999999940e-01
3.752800000000000255e-04,7.570586169999999893e-01,3.795719149999999820e-01
3.762799999999999956e-04,7.570139710000000077e-01,3.801932849999999919e-01
3.772800000000000199e-04,7.569690479999999777e-01,3.808226120000000048e-01
3.782799999999999900e-04,7.569238499999999537e-01,3.814599909999999983e-01
3.792800000000000143e-04,7.568783789999999900e-01,3.821055159999999784e-01
