 time            v(vin)          v(vout)        
 4.02280000e-04  7.55761356e-01  3.99440543e-01 
 4.03280000e-04  7.55709887e-01  4.00313792e-01 
 4.04280000e-04  7.55658192e-01  4.01198026e-01 
 4.05280000e-04  7.55606274e-01  4.02093375e-01 
 4.06280000e-04  7.55554135e-01  4.02999970e-01 
 4.07280000e-04  7.55501776e-01  4.03917942e-01 
 4.08280000e-04  7.55449200e-01  4.04847424e-01 
 4.09280000e-04  7.55396409e-01  4.05788548e-01 
 4.10280000e-04  7.55343405e-01  4.06741450e-01 
 4.11280000e-04  7.55290191e-01  4.07706262e-01 
 4.12280000e-04  7.55236767e-01  4.08683119e-01 
 4.13280000e-04  7.55183136e-01  4.09672156e-01 
 4.14280000e-04  7.55129301e-01  4.10673508e-01 
 4.15280000e-04  7.55075263e-01  4.11687308e-01 
 4.16280000e-04  7.55021025e-01  4.12713692e-01 
 4.17280000e-04  7.54966589e-01  4.13752794e-01 
 4.18280000e-04  7.54911957e-01  4.14804748e-01 
 4.19280000e-04  7.54857130e-01  4.15869687e-01 
 4.20280000e-04  7.54802113e-01  4.16947743e-01 
 4.21280000e-04  7.54746905e-01  4.18039049e-01 
 4.22280000e-04  7.54691510e-01  4.19143735e-01 
 4.23280000e-04  7.54635930e-01  4.20261930e-01 
 4.24280000e-04  7.54580167e-01  4.21393763e-01 
 4.25280000e-04  7.54524223e-01  4.22539360e-01 
 4.26280000e-04  7.54468100e-01  4.23698846e-01 
 4.27280000e-04  7.54411801e-01  4.24872345e-01 
 4.28280000e-04  7.54355328e-01  4.26059977e-01 
 4.29280000e-04  7.54298683e-01  4.27261860e-01 
 4.30280000e-04  7.54241868e-01  4.28478112e-01 
 4.31280000e-04  7.54184885e-01  4.29708845e-01 
 4.32280000e-04  7.54127738e-01  4.30954171e-01 
 4.33280000e-04  7.54070428e-01  4.32214197e-01 
 4.34280000e-04  7.54012956e-01  4.33489027e-01 
 4.35280000e-04  7.53955327e-01  4.34778763e-01 
 4.36280000e-04  7.53897541e-01  4.36083502e-01 
 4.37280000e-04  7.53839601e-01  4.37403337e-01 
 4.38280000e-04  7.53781510e-01  4.38738357e-01 
 4.39280000e-04  7.53723270e-01  4.40088649e-01 
 4.40280000e-04  7.53664882e-01  4.41454294e-01 
 4.41280000e-04  7.53606350e-01  4.42835366e-01 
 4.42280000e-04  7.53547676e-01  4.44231938e-01 
 4.43280000e-04  7.53488861e-01  4.45644077e-01 
 4.44280000e-04  7.53429909e-01  4.47071845e-01 
 4.45280000e-04  7.53370821e-01  4.48515296e-01 
 4.46280000e-04  7.53311600e-01  4.49974483e-01 
 4.47280000e-04  7.53252249e-01  4.51449450e-01 
 4.48280000e-04  7.53192769e-01  4.52940238e-01 
 4.49280000e-04  7.53133163e-01  4.54446880e-01 
